participant_name,session_start,trial_number,trial_timestamp,trial_time_elapsed,target_side,alpha_o1,alpha_o2,alpha_p3,alpha_p4,attention_direction,reaction_time,confidence,ball_position_x,ball_target_x,trial_duration,notes,asymmetry,is_correct
test06,2025-07-18 20:35:23,117,2025-07-18 20:45:55.328,631.83,left,8.528217,14.179455,32.178061,3.515644,left,0.5,0.508414,,,5,,-0.508413773259943,1
test06,2025-07-18 20:35:23,118,2025-07-18 20:46:00.335,636.837,right,11.863925,8.465214,5.462434,7.165802,center,0.5,0.334364,,,5,,0.337536987337745,1
test06,2025-07-18 20:35:23,119,2025-07-18 20:46:05.356,641.859,right,5.901435,5.364694,2.882983,6.080245,center,0.5,0.095356,,,5,,0.0953562035680493,1
test06,2025-07-18 20:35:23,120,2025-07-18 20:46:10.379,646.882,right,44.245027,25.020668,45.673025,9.104618,left,0.5,0.570041,,,5,,-0.570040777634123,0
test06,2025-07-18 20:35:23,121,2025-07-18 20:46:15.401,651.904,right,16.932795,22.733479,13.330944,9.722124,center,0.5,0.294586,,,5,,-0.294586409713023,0
test06,2025-07-18 20:35:23,122,2025-07-18 20:46:20.416,656.918,right,11.239989,14.802956,7.627537,6.023203,center,0.5,0.275349,,,5,,-0.275349024739093,0
test06,2025-07-18 20:35:23,123,2025-07-18 20:46:25.434,661.937,left,36.251913,41.070798,34.226751,10.305032,center,0.5,0.124805,,,5,,-0.124805205698692,1
test06,2025-07-18 20:35:23,124,2025-07-18 20:46:30.447,666.95,left,16.406398,18.304861,17.431809,5.018563,center,0.5,0.109495,,,5,,-0.109495272286105,1
test06,2025-07-18 20:35:23,125,2025-07-18 20:46:35.462,671.965,left,7.913841,10.808946,5.514792,2.669158,center,0.5,0.311761,,,5,,-0.311760872801392,1
test06,2025-07-18 20:35:23,126,2025-07-18 20:46:40.480,676.983,right,32.757862,17.978712,13.343312,15.875337,right,0.5,0.599955,,,5,,0.599954603012528,1
test06,2025-07-18 20:35:23,127,2025-07-18 20:46:45.496,681.999,right,16.858685,8.39735,4.591117,7.599406,right,0.5,0.69695,,,5,,0.69694977439117,1
test06,2025-07-18 20:35:23,128,2025-07-18 20:46:50.514,687.017,right,14.45172,14.029597,8.000728,7.819464,center,0.5,0.026966,,,5,,0.0296442690773512,1
test06,2025-07-18 20:35:23,129,2025-07-18 20:46:55.534,692.037,left,22.11325,15.219879,10.46072,6.378174,center,0.5,0.363959,,,5,,0.37357457404198,0
test06,2025-07-18 20:35:23,130,2025-07-18 20:47:00.553,697.055,left,7.011144,7.635553,5.576994,2.721854,center,0.5,0.085314,,,5,,-0.0853144824815577,1
test06,2025-07-18 20:35:23,131,2025-07-18 20:47:05.561,702.064,right,18.712422,26.561873,16.630408,4.578555,center,0.5,0.350289,,,5,,-0.350289260299772,0
test06,2025-07-18 20:35:23,132,2025-07-18 20:47:10.584,707.086,left,31.234806,41.766962,9.386365,12.52062,center,0.5,0.290573,,,5,,0.290572594293468,0
test06,2025-07-18 20:35:23,133,2025-07-18 20:47:15.600,712.103,left,14.028831,15.875412,10.079784,21.56917,center,0.5,0.123657,,,5,,-0.123656928008977,1
test06,2025-07-18 20:35:23,134,2025-07-18 20:47:20.613,717.115,left,7.889396,14.458122,2.761386,4.894516,right,0.5,0.605737,,,5,,0.605736753448134,0
test06,2025-07-18 20:35:23,135,2025-07-18 20:47:25.625,722.128,left,10.873018,16.799665,10.924551,5.401505,left,0.5,0.435075,,,5,,-0.435074638243097,1
test06,2025-07-18 20:35:23,136,2025-07-18 20:47:30.633,727.135,right,16.242489,12.185933,6.172307,3.604203,center,0.5,0.287348,,,5,,0.287348332838072,1
test06,2025-07-18 20:35:23,137,2025-07-18 20:47:35.648,732.15,right,21.226582,19.130816,15.936272,10.822015,center,0.5,0.103954,,,5,,0.103953826109257,1
test06,2025-07-18 20:35:23,138,2025-07-18 20:47:40.658,737.16,left,16.454472,12.233996,5.255021,3.89155,center,0.5,0.296379,,,5,,0.296378660506432,0
test06,2025-07-18 20:35:23,139,2025-07-18 20:47:45.667,742.17,right,15.175667,6.848751,4.459864,2.290861,left,0.5,0.795627,,,5,,-0.795626989968594,0
test06,2025-07-18 20:35:23,140,2025-07-18 20:47:50.681,747.184,right,36.942411,35.091688,16.620957,12.120075,center,0.5,0.051396,,,5,,0.0513959473320912,1
test06,2025-07-18 20:35:23,141,2025-07-18 20:47:55.701,752.203,right,35.022379,22.347807,10.348879,13.983455,right,0.5,0.44375,,,5,,0.44925906172028,1
test06,2025-07-18 20:35:23,142,2025-07-18 20:48:00.712,757.215,left,21.291309,16.970342,10.803256,12.949613,center,0.5,0.226832,,,5,,0.22683172902561,0
test06,2025-07-18 20:35:23,143,2025-07-18 20:48:05.722,762.225,left,18.986723,20.368991,15.011062,6.116095,center,0.5,0.070274,,,5,,0.0702737499584085,0
test06,2025-07-18 20:35:23,144,2025-07-18 20:48:10.740,767.243,right,19.212603,19.733059,19.377949,6.277028,center,0.5,0.026729,,,5,,-0.0267288811548072,0
test06,2025-07-18 20:35:23,145,2025-07-18 20:48:15.760,772.263,left,11.719593,15.396759,9.788988,7.576151,center,0.5,0.272895,,,5,,-0.272894976142049,1
test06,2025-07-18 20:35:23,146,2025-07-18 20:48:20.787,777.29,right,23.969311,22.931602,18.052307,7.214326,center,0.5,0.044258,,,5,,0.0442583445341937,1
test06,2025-07-18 20:35:23,147,2025-07-18 20:48:25.802,782.305,right,10.587351,5.303646,8.827724,5.088056,right,0.5,0.694022,,,5,,0.691265478104855,1
test06,2025-07-18 20:35:23,148,2025-07-18 20:48:30.822,787.324,right,17.238708,16.288359,11.773113,16.709194,center,0.5,0.056707,,,5,,0.0567066395404696,1
test06,2025-07-18 20:35:23,149,2025-07-18 20:48:35.839,792.342,left,14.936683,22.757889,16.731972,8.675241,left,0.5,0.421092,,,5,,-0.421091720881917,1
test06,2025-07-18 20:35:23,150,2025-07-18 20:48:40.854,797.356,left,8.139189,11.435449,10.28304,5.998043,center,0.5,0.340028,,,5,,-0.340027548515808,1
